Time [ns]	X (Q6.10)	X (Decimal)	Y (Q6.10)	Y (Decimal)
245	65280	-0.250000	 5117	4.997070
475	65025	-0.499023	 5091	4.971680
705	64772	-0.746094	 5046	4.927734
935	64522	-0.990234	 4983	4.866211
1165	64275	-1.231445	 4903	4.788086
1395	64032	-1.468750	 4807	4.694336
1625	63795	-1.700195	 4696	4.585938
1855	63564	-1.925781	 4571	4.463867
2085	63339	-2.145508	 4434	4.330078
2315	63121	-2.358398	 4286	4.185547
2545	62911	-2.563477	 4130	4.033203
2775	62709	-2.760742	 3967	3.874023
3005	62515	-2.950195	 3800	3.710938
3235	62329	-3.131836	 3629	3.543945
3465	62152	-3.304688	 3456	3.375000
3695	61984	-3.468750	 3281	3.204102
3925	61824	-3.625000	 3104	3.031250
4155	61673	-3.772461	 2923	2.854492
4385	61531	-3.911133	 2738	2.673828
4615	61399	-4.040039	 2547	2.487305
4845	61276	-4.160156	 2348	2.292969
5075	61164	-4.269531	 2140	2.089844
5305	61062	-4.369141	 1921	1.875977
5535	60971	-4.458008	 1691	1.651367
5765	60892	-4.535156	 1451	1.416992
5995	60825	-4.600586	 1202	1.173828
6225	60771	-4.653320	  947	0.924805
6455	60730	-4.693359	  690	0.673828
6685	60702	-4.720703	  434	0.423828
6915	60686	-4.736328	  182	0.177734
7145	60683	-4.739258	65472	-0.062500
7375	60692	-4.730469	65232	-0.296875
7605	60713	-4.709961	64998	-0.525391
7835	60745	-4.678711	64768	-0.750000
8065	60788	-4.636719	64540	-0.972656
8295	60843	-4.583008	64312	-1.195312
8525	60909	-4.518555	64083	-1.418945
8755	60987	-4.442383	63852	-1.644531
8985	61076	-4.355469	63619	-1.872070
9215	61177	-4.256836	63385	-2.100586
9445	61289	-4.147461	63152	-2.328125
9675	61413	-4.026367	62923	-2.551758
9905	61548	-3.894531	62701	-2.768555
10135	61694	-3.751953	62490	-2.974609
10365	61850	-3.599609	62291	-3.168945
10595	62016	-3.437500	62106	-3.349609
10825	62191	-3.266602	61936	-3.515625
11055	62374	-3.087891	61780	-3.667969
11285	62564	-2.902344	61639	-3.805664
11515	62761	-2.709961	61511	-3.930664
11745	62964	-2.511719	61395	-4.043945
11975	63172	-2.308594	61291	-4.145508
12205	63385	-2.100586	61197	-4.237305
12435	63603	-1.887695	61113	-4.319336
12665	63825	-1.670898	61038	-4.392578
12895	64050	-1.451172	60971	-4.458008
13125	64278	-1.228516	60912	-4.515625
13355	64509	-1.002930	60861	-4.565430
13585	64742	-0.775391	60818	-4.607422
13815	64977	-0.545898	60782	-4.642578
14045	65214	-0.314453	60754	-4.669922
14275	65452	-0.082031	60733	-4.690430
14505	  155	0.151367	60720	-4.703125
14735	  395	0.385742	60715	-4.708008
14965	  635	0.620117	60718	-4.705078
15195	  874	0.853516	60729	-4.694336
15425	 1113	1.086914	60748	-4.675781
15655	 1350	1.318359	60776	-4.648438
15885	 1586	1.548828	60813	-4.612305
16115	 1820	1.777344	60859	-4.567383
16345	 2051	2.002930	60915	-4.512695
16575	 2279	2.225586	60981	-4.448242
16805	 2504	2.445312	61058	-4.373047
17035	 2724	2.660156	61147	-4.286133
17265	 2940	2.871094	61248	-4.187500
17495	 3150	3.076172	61362	-4.076172
17725	 3354	3.275391	61490	-3.951172
17955	 3552	3.468750	61633	-3.811523
18185	 3742	3.654297	61791	-3.657227
18415	 3924	3.832031	61965	-3.487305
18645	 4097	4.000977	62155	-3.301758
18875	 4260	4.160156	62360	-3.101562
19105	 4412	4.308594	62578	-2.888672
19335	 4553	4.446289	62807	-2.665039
